date,total_eval,total_profit,total_rate
2026-06-17,2605795,651000,33.3027
2026-06-18,3582095,927975,34.9636
2026-06-19,3614990,960870,36.203
2026-06-22,3747235,1093115,41.1856
2026-06-23,3581835,927715,34.9538
2026-06-24,3315080,660960,24.9032
2026-06-25,3685975,1031855,38.8775
2026-06-26,3398850,744730,28.0594
2026-06-29,3377705,723585,27.2627
2026-06-30,3482845,828725,31.2241
2026-07-01,3413125,759005,28.5972
2026-07-02,3150780,496660,18.7128
2026-07-03,3047065,392945,14.8051
2026-07-06,3085225,431105,16.2429
2026-07-07,2880460,226340,8.5279
2026-07-08,3000590,346470,13.054
2026-07-09,2879075,224955,8.4757
2026-07-10,2989485,335365,12.6356
2026-07-13,2654120,0,0.0
